person_id;cohort_name;big5.chatty;big5.cold;big5.thorough;big5.depressed;big5.original;big5.quiet;big5.helpful;big5.unorganized;big5.relaxed;big5.wild_imagination;big5.outgoing;big5.rude;big5.planner;big5.worried_a_lot;big5.speculate;big5.shy;big5.considerate;big5.uncareful;big5.nervous;big5.not_artistic;big5_extrovert_tot;big5_openness_tot;big5_agreeableness_tot;big5_conscientiousness_tot;big5.relaxed_rev;big5_neuroticism_tot
1512;V-2024;5;6;5;2;5;5;6;5;3;4;5;7;6;6;5;5;7;6;4;4;20;18;26;22;5;17
1361;V-2024;7;7;7;6;5;7;7;7;2;3;7;7;7;6;2;7;7;6;5;6;28;16;28;27;6;23
1986;V-2024;5;7;6;1;5;7;5;5;7;4;5;6;4;1;4;7;7;4;2;3;24;16;25;19;1;5
1480;V-2024;5;6;7;3;5;4;7;7;6;6;6;6;6;5;4;7;7;5;3;7;22;22;26;25;2;13
1015;V-2024;7;6;6;1;5;6;7;5;7;6;7;5;6;2;6;6;7;5;3;2;26;19;25;22;1;7
1486;V-2024;5;7;5;2;5;4;6;4;4;6;6;7;4;6;4;7;5;4;5;4;22;19;25;17;4;17
1254;V-2024;5;7;7;1;5;6;7;7;7;2;6;7;7;1;4;7;7;6;4;5;24;16;28;27;1;7
1725;V-2024;5;6;5;3;5;5;5;6;4;6;5;3;5;3;7;6;3;3;2;7;21;25;17;19;4;12
1491;V-2024;6;7;2;1;6;6;4;5;6;6;6;3;4;4;5;6;7;7;3;6;24;23;21;18;2;10
1902;V-2024;3;5;6;3;2;2;6;5;7;1;3;7;4;3;2;4;7;7;5;1;12;6;25;22;1;12
1178;V-2024;4;4;6;4;4;4;6;6;5;4;4;6;6;4;4;4;6;6;3;4;16;16;22;24;3;14
1428;V-2024;5;6;4;2;3;3;5;2;5;6;5;3;6;7;7;3;7;2;5;5;16;21;21;14;3;17
3107;H-2024;5;7;7;2;3;3;7;7;7;3;5;7;7;5;2;5;7;7;2;2;18;10;28;28;1;10
3627;H-2024;4;7;7;1;5;5;7;7;4;4;4;7;7;4;4;6;7;5;4;4;19;17;28;26;4;13
3677;H-2024;5;6;6;1;5;6;7;6;7;4;5;7;6;2;4;7;7;7;5;3;23;16;27;25;1;9
3889;H-2024;5;6;7;1;5;5;7;7;6;4;5;7;7;1;5;7;6;7;2;5;22;19;26;28;2;6
3194;H-2024;5;6;3;1;5;6;6;3;7;4;6;6;4;1;5;6;7;2;1;1;23;15;25;12;1;4
3742;H-2024;5;5;5;2;5;6;4;2;6;6;6;5;2;4;5;7;6;3;4;6;24;22;20;12;2;12
3962;H-2024;6;4;7;1;4;3;7;7;5;1;6;7;7;7;3;7;7;7;6;1;22;9;25;28;3;17
3901;H-2024;3;5;7;1;3;3;6;6;7;5;5;6;7;1;3;6;7;3;2;6;17;17;24;23;1;5
3894;H-2024;5;5;6;1;2;5;5;6;4;1;4;6;5;4;5;5;6;4;5;1;19;9;22;21;4;14
3599;H-2024;7;7;7;1;3;7;6;7;6;3;7;7;7;2;3;7;7;5;4;2;28;11;27;26;2;9
3365;H-2024;4;3;6;1;7;4;4;6;7;7;4;4;6;1;7;3;6;5;2;4;15;25;17;23;1;5
3378;H-2024;5;6;7;1;4;5;6;3;2;3;5;6;5;6;5;6;7;5;6;3;21;15;25;20;6;19
3948;H-2024;5;6;7;2;5;6;4;5;4;5;4;6;6;4;6;6;6;6;2;2;21;18;22;24;4;12
3421;H-2024;3;3;7;1;4;5;6;7;7;5;5;7;6;1;5;6;6;6;1;2;19;16;22;26;1;4
3969;H-2024;6;3;5;2;7;5;6;3;5;7;6;3;4;3;6;5;7;5;3;5;22;25;19;17;3;11
3823;H-2024;5;1;5;1;1;6;4;7;4;7;5;3;7;7;5;4;7;1;7;1;20;14;15;20;4;19
3155;H-2024;1;3;3;6;2;1;7;4;1;7;1;7;4;7;3;1;7;6;7;2;4;14;24;17;7;27
3166;H-2024;4;5;7;1;5;3;7;7;6;5;5;7;7;2;7;5;7;7;2;7;17;24;26;28;2;7
3207;H-2024;6;6;6;5;4;5;7;6;5;3;5;5;5;5;5;6;6;5;6;3;22;15;24;22;3;19
3726;H-2024;4;3;6;3;5;2;5;4;6;6;4;7;6;5;6;5;7;7;4;5;15;22;22;23;2;14
3468;H-2024;3;6;7;1;5;4;6;7;6;7;4;7;5;5;7;4;7;6;3;7;15;26;26;25;2;11
3105;H-2024;3;6;6;1;4;3;5;6;7;5;4;5;7;2;6;6;7;4;2;2;16;17;23;23;1;6
3482;H-2024;5;5;3;5;4;4;5;3;3;2;5;6;5;6;3;4;5;5;5;5;18;14;21;16;5;21
3587;H-2024;7;7;5;2;5;7;6;5;5;6;7;5;5;3;5;7;7;7;2;5;28;21;25;22;3;10
3280;H-2024;6;5;6;1;5;5;5;4;2;5;6;6;6;5;5;4;7;4;5;5;21;20;23;20;6;17
3972;H-2024;5;4;7;1;6;5;7;6;7;7;7;6;6;4;5;7;7;6;4;4;24;22;24;25;1;10
3440;H-2024;6;6;7;1;4;7;7;7;7;3;6;7;7;2;6;7;7;7;1;2;26;15;27;28;1;5
3389;H-2024;5;5;5;1;5;4;7;5;3;1;3;5;5;4;6;5;6;3;3;7;17;19;23;18;5;13
3499;H-2024;5;6;7;1;5;7;5;5;2;6;5;7;6;6;6;6;6;5;6;6;23;23;24;23;6;19
3251;H-2024;3;3;5;5;4;3;5;6;5;3;4;4;6;5;3;4;6;6;5;1;14;11;18;23;3;18
3231;H-2024;6;7;5;2;5;7;6;4;6;6;7;1;6;6;4;7;7;1;1;1;27;16;21;16;2;11
3564;H-2024;5;7;7;1;6;6;7;7;7;5;6;7;7;3;5;7;7;7;2;1;24;17;28;28;1;7
3294;H-2024;4;4;5;1;3;5;5;5;4;6;4;4;4;5;5;5;6;3;3;2;18;16;19;17;4;13
3613;H-2024;5;6;6;2;6;4;6;6;6;7;5;5;5;4;5;4;6;3;3;7;18;25;23;20;2;11
3463;H-2024;7;7;7;1;5;7;7;7;5;4;7;7;7;3;3;7;7;7;3;6;28;18;28;28;3;10
3100;H-2024;5;3;6;6;4;5;5;4;5;3;6;3;5;6;6;3;6;2;3;6;19;19;17;17;3;18
3919;H-2024;5;6;6;4;3;3;6;6;5;3;5;6;7;7;5;5;7;4;6;6;18;17;25;23;3;20
3188;H-2024;5;7;7;1;4;3;7;7;6;3;5;6;7;3;2;6;7;7;2;2;19;11;27;28;2;8
3141;H-2024;3;6;7;2;3;3;7;3;2;2;2;7;2;6;5;3;7;3;7;3;11;13;27;15;6;21
3924;H-2024;2;6;6;5;5;3;7;6;3;1;2;4;6;6;5;2;7;6;7;1;9;12;24;24;5;23
3770;H-2024;4;4;7;4;3;3;7;6;5;7;3;6;5;6;5;3;7;6;6;1;13;16;24;24;3;19
3379;H-2024;6;6;6;1;5;6;6;4;5;5;7;6;6;3;4;6;7;4;3;5;25;19;25;20;3;10
3959;H-2024;5;7;7;2;3;3;5;7;2;7;4;7;5;7;5;4;7;7;6;6;16;21;26;26;6;21
3036;H-2024;7;6;6;1;4;6;6;3;5;3;7;7;3;5;5;5;7;6;5;5;25;17;26;18;3;14
3626;H-2024;7;7;6;1;4;7;6;6;5;4;7;7;7;3;3;7;7;6;2;2;28;13;27;25;3;9
3276;H-2024;6;6;7;1;7;5;7;7;7;5;7;7;7;3;6;7;7;6;4;1;25;19;27;27;1;9
3362;H-2024;6;5;6;1;5;6;5;5;4;3;7;5;5;3;4;5;7;3;4;6;24;18;22;19;4;12
3898;H-2024;4;4;7;3;7;3;7;4;2;4;4;3;5;5;7;4;7;7;5;6;15;24;21;23;6;19
3785;H-2024;5;3;7;1;7;2;6;7;5;7;4;7;7;4;7;5;7;7;5;7;16;28;23;28;3;13
3708;H-2024;6;7;7;1;3;5;7;5;4;2;5;7;5;5;4;5;7;5;5;3;21;12;28;22;4;15
3086;H-2024;3;5;7;5;7;3;7;5;4;1;4;5;6;7;7;3;7;6;6;1;13;16;24;24;4;22
3138;H-2024;7;4;5;2;4;4;3;5;6;6;5;6;7;5;7;3;6;3;5;1;19;18;19;20;2;14
3344;H-2024;4;6;5;1;3;5;6;6;3;2;5;5;6;5;2;7;6;4;5;2;21;9;23;21;5;16
3211;H-2024;6;6;7;1;7;3;3;1;1;7;7;7;5;7;7;3;7;1;7;1;19;22;23;14;7;22
3461;H-2024;3;5;6;5;4;2;6;6;3;4;2;6;4;6;4;3;6;6;6;2;10;14;23;22;5;22
3942;H-2024;5;6;5;1;4;4;1;3;4;3;5;7;5;2;3;5;7;2;4;3;19;13;21;15;4;11
3681;H-2024;3;4;6;2;6;3;5;4;6;6;4;4;6;3;7;5;5;3;3;2;15;21;18;19;2;10
3946;H-2024;4;6;7;1;3;4;6;7;4;2;4;5;7;4;3;4;7;5;5;5;16;13;24;26;4;14
3667;H-2024;7;5;2;1;4;7;5;3;7;3;4;5;2;1;7;5;6;3;3;7;23;21;21;10;1;6
3727;H-2024;3;4;7;7;3;3;7;6;3;5;3;6;6;7;5;5;7;5;5;5;14;18;24;24;5;24
3079;H-2024;5;5;7;1;4;6;6;7;6;5;4;6;6;3;5;6;7;6;4;2;21;16;24;26;2;10
3542;H-2024;7;5;6;1;6;6;5;6;7;3;7;4;7;1;6;7;7;6;1;1;27;16;21;25;1;4
3851;H-2024;3;6;6;1;5;3;6;7;5;5;4;7;7;4;4;4;7;7;5;2;14;16;26;27;3;13
3634;H-2024;7;5;6;1;5;5;4;6;5;7;7;4;6;5;7;5;6;2;4;4;24;23;19;20;3;13
3714;H-2024;4;3;5;4;6;4;6;5;6;6;5;6;5;2;5;3;7;4;4;6;16;23;22;19;2;12
3717;H-2024;4;6;6;1;3;3;6;4;3;3;4;7;6;4;4;4;7;4;4;2;15;12;26;20;5;14
3929;H-2024;5;6;7;3;5;5;6;4;4;3;7;6;5;5;6;6;6;6;3;7;23;21;24;22;4;15
3838;H-2024;3;3;6;1;4;3;6;7;6;4;3;6;7;2;5;6;6;7;2;5;15;18;21;27;2;7
3501;H-2024;5;6;7;2;5;3;6;6;6;6;5;6;7;5;4;5;7;7;5;5;18;20;25;27;2;14
3700;H-2024;6;4;7;1;7;4;4;7;7;7;7;4;6;1;6;3;6;3;1;6;20;26;18;23;1;4
3854;H-2024;5;4;6;3;4;4;3;5;3;6;4;4;4;7;4;4;4;3;7;7;17;21;15;18;5;22
3611;H-2024;4;6;6;1;5;4;6;6;6;5;5;7;7;3;5;6;7;6;2;7;19;22;26;25;2;8
3495;H-2024;6;4;7;1;4;6;5;7;7;5;7;5;7;3;5;6;7;3;2;2;25;16;21;24;1;7
3371;H-2024;4;7;7;1;3;2;7;6;5;2;4;7;7;5;2;5;7;5;6;1;15;8;28;25;3;15
3380;H-2024;4;6;7;1;5;3;6;7;7;7;5;6;7;3;7;5;6;6;2;7;17;26;24;27;1;7
3097;H-2024;4;4;7;5;5;3;6;7;6;6;5;5;6;6;6;5;7;6;4;2;17;19;22;26;2;17
3049;H-2024;7;7;7;1;4;7;7;6;6;4;7;7;6;2;4;7;7;6;3;3;28;15;28;25;2;8
3754;H-2024;7;2;7;1;5;4;7;4;5;4;6;3;4;5;5;2;6;2;6;1;19;15;18;17;3;15
3687;H-2024;5;6;7;1;5;4;7;7;7;4;6;7;5;1;3;6;7;7;1;1;21;13;27;26;1;4
3815;H-2024;6;7;7;1;5;7;7;7;3;4;7;7;7;2;7;7;7;6;6;7;27;23;28;27;5;14
3469;H-2024;7;7;7;1;6;7;1;7;4;4;7;6;7;3;5;7;7;4;4;4;28;19;21;25;4;12
3260;H-2024;6;7;7;1;5;7;7;7;4;5;7;7;7;5;5;7;7;6;5;3;27;18;28;27;4;15
3931;H-2024;4;3;5;3;5;4;5;4;5;6;5;5;2;4;5;5;5;4;3;5;18;21;18;15;3;13
3654;H-2024;6;5;7;1;5;4;6;4;4;7;5;6;5;6;6;5;7;5;6;7;20;25;24;21;4;17
3475;H-2024;6;7;6;1;4;6;6;6;5;4;7;6;6;4;4;6;7;3;4;3;25;15;26;21;3;12
3174;H-2024;6;4;6;2;5;4;6;2;6;7;6;3;6;4;5;3;6;5;6;7;19;24;19;19;2;14
3145;H-2024;6;4;7;3;6;5;5;6;4;6;6;5;5;2;5;5;6;5;4;6;22;23;20;23;4;13
3554;H-2024;5;7;7;1;4;3;6;7;6;2;5;6;6;4;5;6;7;7;3;2;19;13;26;27;2;10
3432;H-2024;6;6;3;1;6;3;7;7;3;4;6;5;7;7;5;4;7;6;4;3;19;18;25;23;5;17
3183;H-2024;5;7;7;1;4;5;6;7;5;5;5;5;6;5;6;3;7;6;5;5;18;20;25;26;3;14
3347;H-2024;5;7;7;1;5;7;6;7;4;3;7;7;7;4;3;7;7;7;4;6;26;17;27;28;4;13
3886;H-2024;6;7;5;1;3;6;5;2;6;5;7;6;5;7;4;5;7;6;6;3;24;15;25;18;2;16
3074;H-2024;5;3;6;4;2;4;6;6;1;1;4;5;5;7;3;6;7;6;7;3;19;9;21;23;7;25
3952;H-2024;5;6;7;1;5;6;6;7;5;3;4;7;7;6;4;6;7;6;4;3;21;15;26;27;3;14
3142;H-2024;5;5;6;1;4;2;6;7;3;7;6;4;5;6;2;7;7;6;3;7;20;20;22;24;5;15
3486;H-2024;4;6;6;1;5;2;6;6;4;2;3;6;6;5;5;5;6;6;6;3;14;15;24;24;4;16
3981;H-2024;5;7;7;1;5;4;7;7;5;5;6;7;7;2;6;7;7;6;4;5;22;21;28;27;3;10
3118;H-2024;7;7;6;2;6;7;7;7;5;4;7;6;6;4;5;5;7;5;4;7;26;22;27;24;3;13
3271;H-2024;5;6;7;1;5;3;7;6;5;5;6;7;7;2;5;7;7;7;3;3;21;18;27;27;3;9
3551;H-2024;7;6;6;1;5;7;5;5;5;5;6;5;5;3;4;7;6;4;5;6;27;20;22;20;3;12
3309;H-2024;4;5;7;3;6;3;6;4;3;4;3;5;5;6;5;3;6;5;6;5;13;20;22;21;5;20
3357;H-2024;4;7;7;1;5;4;6;4;7;3;5;5;3;5;4;6;7;3;5;6;19;18;25;17;1;12
3252;H-2024;6;7;7;1;6;2;7;7;5;6;6;7;7;4;7;7;7;7;2;7;21;26;28;28;3;10
3984;H-2024;3;4;7;1;3;3;5;7;3;2;3;7;6;5;3;5;5;7;5;1;14;9;21;27;5;16
3900;H-2024;7;7;6;1;2;7;6;7;4;2;7;7;7;5;3;7;7;5;4;1;28;8;27;25;4;14
3678;H-2024;6;7;6;1;4;7;7;7;7;3;7;7;5;1;3;7;7;4;1;4;27;14;28;22;1;4
3459;H-2024;5;7;6;1;5;6;6;7;6;6;6;7;6;3;7;5;6;3;3;1;22;19;26;22;2;9
3061;H-2024;6;7;7;1;5;6;7;6;6;6;7;7;4;2;5;7;7;7;1;7;26;23;28;24;2;6
3566;H-2024;6;4;7;4;6;6;5;4;4;7;6;5;7;7;7;6;7;6;5;7;24;27;21;24;4;20
3820;H-2024;5;6;7;1;4;2;7;6;4;2;5;7;6;5;4;5;7;7;4;5;17;15;27;26;4;14
3840;H-2024;4;4;6;2;5;2;6;6;5;5;3;6;6;5;7;4;6;6;5;7;13;24;22;24;3;15
3752;H-2024;6;7;6;1;4;6;5;7;5;2;5;7;6;4;5;7;6;7;4;7;24;18;25;26;3;12
3179;H-2024;5;5;7;1;6;7;4;7;6;7;6;4;6;1;6;6;5;1;2;3;24;22;18;21;2;6
3882;H-2024;5;5;6;1;5;6;5;7;4;7;6;6;3;4;6;6;6;2;4;5;23;23;22;18;4;13
3272;H-2024;6;3;7;2;6;6;6;7;4;6;5;3;7;6;6;5;6;3;3;6;22;24;18;24;4;15
3076;H-2024;3;3;5;3;5;2;7;3;3;6;3;6;3;6;6;3;7;3;6;7;11;24;23;14;5;20
3087;H-2024;4;6;7;2;7;3;7;4;7;4;3;7;6;4;7;4;7;5;6;6;14;24;27;22;1;13
3224;H-2024;2;2;7;2;7;2;6;3;5;7;3;7;5;2;6;2;7;6;6;5;9;25;22;21;3;13
3545;H-2024;5;5;4;3;6;5;7;2;6;2;6;7;4;1;7;7;7;6;4;1;23;16;26;16;2;10
3845;H-2024;6;7;7;1;5;6;7;7;5;4;6;7;6;5;6;7;7;4;4;4;25;19;28;24;3;13
3383;H-2024;3;7;7;1;3;2;6;7;3;4;3;7;6;4;2;6;7;7;6;6;14;15;27;27;5;16
3782;H-2024;6;7;7;4;4;5;6;7;2;4;6;7;7;7;4;4;7;7;6;6;21;18;27;28;6;23
3906;H-2025;5;5;7;3;5;5;6;7;4;5;5;5;6;6;7;5;7;4;5;5;20;22;23;24;4;18
3831;H-2025;5;7;7;1;7;6;7;7;5;5;5;7;7;4;7;7;7;6;2;7;23;26;28;27;3;10
